ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090701000640,aor:AO090701000640,Q2U7Z1,5995514,,hydroxymethylglutaryl-CoA reductase (NADPH) (EC 1.1.1.34),
AO090701000612,aor:AO090701000612,Q2U813,5995492,,Kinesin-like protein,
AO090701000606,aor:AO090701000606,Q2U818,,,"DNA, SC111",
AO090701000604,aor:AO090701000604,Q2U820,5995485,,"DNA, SC111",SUBCELLULAR LOCATION: Endosome {ECO:0000256|ARBA:ARBA00004177}.
AO090701000601,aor:AO090701000601,Q2U823,10099593,,"DNA, SC111",
AO090701000597,aor:AO090701000597,Q2U827,5995478,,glutamine--tRNA ligase (EC 6.1.1.18),
AO090701000586,aor:AO090701000586,Q2U836,5995469,,Transcription initiation factor TFIID subunit 8,SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000582,aor:AO090701000582,Q2U839,5995466,,"DNA, SC111",
AO090701000555,aor:AO090701000555,Q2U862,5995443,,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase (EC 5.3.3.21)",SUBCELLULAR LOCATION: Peroxisome {ECO:0000256|ARBA:ARBA00004275}.
AO090701000553,aor:AO090701000553,Q2U864,,,General transcription and DNA repair factor IIH subunit TFB5,"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU368032}."
AO090701000541,aor:AO090701000541,Q2U876,5995429,,Mitochondrial division protein 1,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004570}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004570}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004570}.
AO090701000530,aor:AO090701000530,Q2U886,,,"DNA, SC111",
AO090701000517,aor:AO090701000517,Q2U897,5995408,,histidine kinase (EC 2.7.13.3),
AO090701000504,aor:AO090701000504,Q2U8A9,5995396,,"N-acetylgalactosaminide beta-1,3-galactosyltransferase (EC 2.4.1.122)",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
AO090701000490,aor:AO090701000490,Q2U8B9,5995386,,Amine oxidase (EC 1.4.3.-),
AO090701000473,aor:AO090701000473,Q2U8D2,5995373,,Lysophospholipase (EC 3.1.1.5),
AO090701000469,aor:AO090701000469,Q2U8D6,5995369,,"DNA, SC111",
AO090701000462,aor:AO090701000462,Q2U8E3,5995362,,Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13),
AO090701000451,aor:AO090701000451,Q2U8F4,5995751,,6-methylsalicylate decarboxylase (EC 4.1.1.52),
AO090701000437,aor:AO090701000437,Q2U8G7,5995338,,Citrate exporter A,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000436,aor:AO090701000436,Q2U8G8,5995337,,"DNA, SC111",
AO090701000422,aor:AO090701000422,Q2U8I2,5995323,,"DNA, SC111",
AO090701000411,aor:AO090701000411,Q2U8J2,5995313,,D-xylulose reductase (EC 1.1.1.9) (Xylitol dehydrogenase A),
AO090701000402,aor:AO090701000402,Q2U8K1,5995304,,ferric-chelate reductase (NADPH) (EC 1.16.1.9),SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
AO090701000401,aor:AO090701000401,Q2U8K2,5995303,,"DNA, SC111",SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.
